recipe_id,Name,Ingredients,Description,Instructions,Category,Cousin,Difficulty,Picture
16,"Moussaka","Eggplant, Ground lamb, Tomatoes, Onion, Garlic, Bechamel sauce, Cheese","Classic Greek eggplant and meat casserole.","Layer fried eggplant, meat sauce, and bechamel sauce in a dish. Top with cheese and bake until bubbly and golden.","Non-Veggi","Greek","Hard","moussaka.jpg"
17,"Strawberry Shortcake","Sponge cake or biscuits, Strawberries, Whipped cream","Simple and delicious American dessert.","Slice cake/biscuits. Top with sliced strawberries and whipped cream.","Dessert","American","Easy","strawberry_shortcake.jpg"
18,"Chicken Fajitas","Chicken strips, Bell peppers, Onions, Tortillas, Salsa, Guacamole, Sour cream","Mexican dish with grilled chicken and vegetables served in tortillas.","Slice chicken and vegetables. Sauté until cooked. Serve hot with tortillas and toppings.","Non-Veggi","Mexican","Easy","chicken_fajitas.jpg"
19,"Hummus","Chickpeas, Tahini, Lemon juice, Garlic, Olive oil, Cumin","Creamy Middle Eastern dip.","Blend chickpeas, tahini, lemon juice, garlic, and cumin until smooth. Drizzle with olive oil. Serve with pita bread or vegetables.","Veggi","Middle Eastern","Easy","hummus.jpg"
20,"Key Lime Pie","Graham cracker crust, Lime juice, Sweetened condensed milk, Egg yolks","Tangy and refreshing American dessert pie.","Prepare graham cracker crust. Whisk lime juice, condensed milk, and egg yolks. Pour into crust and bake until set. Chill before serving.","Dessert","American","Easy","key_lime_pie.jpg"
21,"Salmon Sushi Rolls","Sushi rice, Nori sheets, salmon, Avocado, Cucumber, Soy sauce, Wasabi, Ginger","Japanese dish of vinegared rice with various fillings.","Prepare sushi rice. Lay nori sheet, spread rice, add fillings, and roll tightly. Slice and serve with soy sauce, wasabi, and ginger.","Non-Veggi","Japanese","Medium","sushi_rolls.jpg"
22,"Black Bean Soup","Black beans, Onion, Garlic, Vegetable broth, cumin, chili powder, Cilantro","Hearty and flavorful vegetarian soup.","Sauté onion and garlic. Add black beans, broth, and spices. Simmer until heated through. Garnish with cilantro.","Veggi","Mexican","Easy","black_bean_soup.jpg"
23,"Peach Cobbler","Peaches, Flour, Sugar, Butter, Cinnamon","Warm and comforting American fruit dessert.","Slice peaches and mix with sugar and cinnamon. Top with a buttery biscuit-like topping. Bake until golden brown and bubbly.","Dessert","American","Easy","peach_cobbler.jpg"
24,"Lamb Tagine","Lamb pieces, Dried apricots, Prunes, Onion, ginger, turmeric, cumin, cinnamon, Broth, Almonds","Slow-cooked Moroccan stew with tender lamb and sweet dried fruit.","Brown lamb. Sauté onion and spices. Add apricots, prunes, and broth. Simmer until lamb is tender. Garnish with almonds.","Halal","Moroccan","Medium","lamb_tagine.jpg"
25,"Greek Salad","Tomatoes, Cucumbers, Red onion, Kalamata olives, Feta cheese, Olive oil, Oregano","Simple and refreshing Mediterranean salad.","Combine all ingredients in a bowl. Drizzle with olive oil and sprinkle with oregano.","Veggi","Greek","Easy","greek_salad.jpg"
26,"Panna Cotta","Cream, Sugar, Vanilla extract, Gelatin, Fruit sauce","Smooth and creamy Italian dessert.","Heat cream and sugar. Dissolve gelatin. Stir in vanilla. Pour into molds and chill until set. Serve with fruit sauce if desired.","Dessert","Italian","Easy","panna_cotta.jpg"
27,"Chicken Caesar Salad","Romaine lettuce, Grilled chicken, Croutons, Parmesan cheese, Caesar dressing","Classic American salad with grilled chicken and creamy dressing.","Toss lettuce with dressing, croutons, and parmesan. Top with grilled chicken.","Non-Veggi","American","Easy","chicken_caesar_salad.jpg"
28,"Quesadillas","Tortillas, cheddar, chicken, beans, vegetables","Simple and versatile Mexican dish with melted cheese in tortillas.","Place cheese and fillings on a tortilla. Top with another tortilla and cook in a skillet until cheese is melted and tortillas are golden.","Veggi","Mexican","Easy","quesadillas.jpg"
29,"Baba Ghanoush","Eggplant, Tahini, Lemon juice, Garlic, Olive oil, Parsley","Smoky and flavorful Middle Eastern eggplant dip.","Roast or grill eggplant until soft. Scoop out the flesh and blend with tahini, lemon juice, garlic, and olive oil. Garnish with parsley.","Veggi","Middle Eastern","Easy","baba_ghanoush.jpg"
30,"Chocolate Mousse","Chocolate, Eggs, Sugar, Cream","Light and airy French chocolate dessert.","Melt chocolate. Whisk egg yolks and sugar. Whip cream and egg whites. Fold everything together gently. Chill until set.","Dessert","French","Medium","chocolate_mousse.jpg"
31,"Steak with Garlic Butter","Steak, Butter, Garlic, rosemary, thyme, Salt, Pepper","Simple yet elegant steak dish with flavorful garlic butter.","Season steak with salt and pepper. Cook to desired doneness. Melt butter with garlic and herbs. Spoon over steak.","Non-Veggi","American","Easy","steak_garlic_butter.jpg"
32,"Spinach and Ricotta Cannelloni","Cannelloni pasta tubes, Spinach, Ricotta cheese, Egg, Nutmeg, Tomato sauce, Mozzarella cheese","Baked Italian pasta dish with a creamy spinach and ricotta filling.","Cook cannelloni. Mix spinach, ricotta, egg, and nutmeg. Fill the tubes. Arrange in a dish with tomato sauce, top with mozzarella, and bake.","Veggi","Italian","Medium","spinach_cannelloni.jpg"
33,"Mango Lassi","Mangoes, Yogurt, Sugar, Cardamom","Sweet and refreshing Indian yogurt-based drink.","Blend mangoes, yogurt, sugar, and cardamom until smooth. Serve chilled.","Dessert","Indian","Easy","mango_lassi.jpg"
34,"Fish and Chips","White fish fillets cod, haddock Potatoes, Flour, Beer, Salt, Pepper, Oil","Classic British dish of battered and deep-fried fish with thick-cut fries.","Cut potatoes into fries. Prepare batter with flour and beer. Dip fish in batter and deep-fry until golden. Fry potatoes. Season with salt.","Non-Veggi","British","Medium","fish_and_chips.jpg"
35,"Paella","Rice, shrimp, mussels, clams, Chicken, peas, peppers, Saffron, Olive oil, Broth","Spanish rice dish with a variety of seafood and often meat.","Sauté chicken (if using). Add vegetables and rice. Stir in saffron and broth. Add seafood and simmer until rice is cooked and seafood is done.","Non-Veggi","Spanish","Medium","paella.jpg"
36,"Carrot Cake","Flour, Sugar, Carrots, Oil, Eggs, Walnuts, Cream cheese frosting","Moist and spiced cake with shredded carrots and a cream cheese frosting.","Mix dry ingredients. Whisk wet ingredients. Combine. Stir in carrots and walnuts. Bake. Frost with cream cheese frosting.","Dessert","American","Medium","carrot_cake.jpg"
37,"Chicken Fajita Salad","Grilled chicken strips, Lettuce, Bell peppers, Onions, Corn, Black beans, Avocado, Salsa, Lime dressing","Healthy and flavorful salad inspired by chicken fajitas.","Grill chicken and slice vegetables. Combine all ingredients in a bowl and toss with lime dressing.","Non-Veggi","Mexican","Easy","chicken_fajita_salad.jpg"
38,"Falafel","Chickpeas, Onion, Garlic, Parsley, Cilantro, cumin, coriander, Oil","Deep-fried chickpea patties, a popular Middle Eastern street food.","Soak chickpeas. Grind with onion, garlic, herbs, and spices. Form into patties and deep-fry until golden brown.","Veggi","Middle Eastern","Medium","falafel.jpg"
39,"Crème brûlée","Cream, Sugar, Egg yolks, Vanilla extract, Sugar","Rich and creamy custard dessert with a caramelized sugar topping.","Heat cream and vanilla. Whisk egg yolks and sugar. Temper yolks with cream. Pour into ramekins and bake in a water bath. Chill. Sprinkle with sugar and brûlée with a torch.","Dessert","French","Hard","creme_brulee.jpg"
40,"Lasagna","Lasagna noodles, Ground beef, Ricotta cheese, Mozzarella cheese, Parmesan cheese, Tomato sauce, Onion, Garlic, Herbs","Classic Italian baked pasta dish with layers of meat sauce, cheese, and pasta.","Brown ground beef with onion and garlic. Layer noodles, meat sauce, ricotta mixture, and mozzarella in a dish. Top with parmesan and bake.","Non-Veggi","Italian","Medium","lasagna.jpg"
41,"Pumpkin Pie","Pumpkin puree, Eggs, Sugar, Evaporated milk, Spices (cinnamon, ginger, nutmeg), Pie crust","Traditional American pie with a spiced pumpkin filling.","Whisk pumpkin puree, eggs, sugar, evaporated milk, and spices. Pour into pie crust and bake until set.","Dessert","American","Easy","pumpkin_pie.jpg"
42,"Shrimp Scampi","Shrimp, Garlic, Butter, White wine, Lemon juice, Parsley, Linguine","Quick and flavorful Italian-American pasta dish with shrimp in a garlic butter sauce.","Sauté garlic in butter. Add shrimp and cook until pink. Deglaze with white wine and lemon juice. Toss with linguine and parsley.","Non-Veggi","Italian-American","Easy","shrimp_scampi.jpg"
43,"Sweet Potato Curry","Sweet potatoes, Coconut milk, Onion, Garlic, Ginger, Curry powder, Spinach","Mildly sweet and creamy vegetarian curry.","Sauté onion, garlic, and ginger. Add sweet potatoes and curry powder. Stir in coconut milk and spinach. Simmer until sweet potatoes are tender.","Veggi","Indian","Easy","sweet_potato_curry.jpg"
44,"Brownies","Butter, Sugar, Eggs, Cocoa powder, Flour, Vanilla extract, Chocolate chips","Rich and fudgy chocolate dessert bars.","Melt butter and sugar. Whisk in eggs and vanilla. Stir in cocoa and flour. Fold in chocolate chips. Bake until set.","Dessert","American","Easy","brownies.jpg"
45,"Chicken Souvlaki","Chicken cubes, Lemon juice, Olive oil, Garlic, Oregano, Pita bread, Tzatziki sauce, Vegetables","Greek grilled chicken skewers served with pita and tzatziki.","Marinate chicken in lemon juice, olive oil, garlic, and oregano. Thread onto skewers and grill. Serve in pita with tzatziki and vegetables.","Non-Veggi","Greek","Easy","chicken_souvlaki.jpg"
46,"Vegetable Tagine","zucchini, carrots, potatoes, chickpeas, Onion, turmeric, cumin, ginger, cinnamon, Vegetable broth, apricots, raisins","Flavorful Moroccan stew with a variety of vegetables and aromatic spices.","Sauté onion and spices. Add vegetables, chickpeas, broth, and dried fruit. Simmer until vegetables are tender.","Veggi","Moroccan","Medium","vegetable_tagine.jpg"
47,"Lemon Raspberry Cake","Flour, Sugar, Eggs, Butter, Lemon zest, Lemon juice, Raspberries, Powdered sugar glaze","Light and fruity cake with a tangy lemon flavor and sweet raspberries.","Cream butter and sugar. Beat in eggs, lemon zest, and juice. Fold in flour and raspberries. Bake. Drizzle with glaze.","Dessert","American","Medium","lemon_raspberry_cake.jpg"
48,"Beef and Broccoli","Beef strips, Broccoli florets, Soy sauce, Oyster sauce, Ginger, Garlic, Cornstarch","Classic Chinese stir-fry with tender beef and crisp broccoli in a savory sauce.","Stir-fry beef until browned. Add broccoli and cook until tender-crisp. Stir in sauce made with soy sauce, oyster sauce, ginger, garlic, and cornstarch.","Non-Veggi","Chinese","Easy","beef_and_broccoli.jpg"
49,"Caprese Salad","Tomatoes, Fresh mozzarella cheese, Basil leaves, Balsamic glaze, Olive oil, Salt, Pepper","Simple and refreshing Italian salad.","Slice tomatoes and mozzarella. Arrange on a plate with basil leaves. Drizzle with balsamic glaze and olive oil. Season with salt and pepper.","Veggi","Italian","Easy","caprese_salad.jpg"
50,"Banana Bread","Ripe bananas, Flour, Sugar, Eggs, Butter, Baking soda, Vanilla extract, Cinnamon","Classic homemade quick bread made with ripe bananas.","Mash bananas. Cream butter and sugar. Beat in eggs and vanilla. Mix in flour and baking soda. Fold in mashed bananas. Bake until golden brown.","Dessert","American","Easy","banana_bread.jpg"
51,"Chicken Biryani","Basmati rice, Chicken pieces, Onions, Yogurt, Biryani spices, Saffron, Ghee","Aromatic Indian rice dish layered with spiced chicken.","Marinate chicken. Cook rice partially. Layer rice and chicken with spices and saffron. Steam until fully cooked.","Halal","Indian","Hard","chicken_biryani.jpg"
52,"Ratatouille","Eggplant, Zucchini, Tomatoes, Bell peppers, Onion, Garlic, Herbs de Provence","Traditional French vegetable stew.","Slice vegetables. Layer in a baking dish. Season with herbs and garlic. Bake until vegetables are tender.","Veggi","French","Medium","ratatouille.jpg"
53,"Fish Tacos","White fish fillets, Cabbage slaw, Lime crema, Tortillas, Avocado","Mexican-style tacos with crispy fish and fresh toppings.","Season and cook fish. Prepare slaw and crema. Assemble tacos with fish, slaw, crema, and avocado.","Non-Veggi","Mexican","Medium","fish_tacos.jpg"
54,"Mushroom Wellington","Portobello mushrooms, Puff pastry, Spinach, Chestnuts, Herbs","Vegetarian version of beef Wellington.","Sauté mushrooms and spinach. Wrap in puff pastry with chestnuts and herbs. Bake until golden.","Veggi","British","Hard","mushroom_wellington.jpg"
55,"Miso Soup","Dashi stock, Miso paste, Tofu, Seaweed, Green onions","Traditional Japanese soup.","Make dashi stock. Dissolve miso paste. Add tofu and seaweed. Garnish with green onions.","Veggi","Japanese","Easy","miso_soup.jpg"
56,"Red Velvet Cake","Flour, Cocoa powder, Buttermilk, Red food coloring, Cream cheese frosting","Classic American layer cake with cream cheese frosting.","Mix dry and wet ingredients separately. Combine and add food coloring. Bake layers. Frost with cream cheese frosting.","Dessert","American","Medium","red_velvet_cake.jpg"
57,"Beef Bourguignon","Beef chunks, Red wine, Bacon, Pearl onions, Mushrooms, Carrots","Classic French beef stew in red wine sauce.","Brown beef and bacon. Add vegetables and wine. Simmer until meat is tender.","Non-Veggi","French","Hard","beef_bourguignon.jpg"
58,"Shakshuka","Eggs, Tomatoes, Bell peppers, Onions, Garlic, Cumin, Paprika","Middle Eastern eggs poached in spiced tomato sauce.","Make tomato sauce with vegetables and spices. Poach eggs in the sauce.","Veggi","Middle Eastern","Medium","shakshuka.jpg"
59,"Beef Pho","Rice noodles, Beef broth, Beef slices, Bean sprouts, Herbs, Spices","Vietnamese noodle soup with aromatic broth.","Prepare spiced broth. Cook noodles. Serve with beef slices, bean sprouts, and herbs.","Non-Veggi","Vietnamese","Medium","beef_pho.jpg"
60,"Spanakopita","Phyllo dough, Spinach, Feta cheese, Onions, Eggs","Greek spinach and feta pie.","Mix spinach filling. Layer phyllo sheets with filling. Bake until golden.","Veggi","Greek","Medium","spanakopita.jpg"
61,"Tom Yum Soup","Shrimp, Lemongrass, Kaffir lime leaves, Mushrooms, Chili","Spicy and sour Thai soup.","Simmer aromatics in broth. Add shrimp and mushrooms. Season with lime juice and chili.","Non-Veggi","Thai","Medium","tom_yum.jpg"
62,"Vegetable Samosas","Potatoes, Peas, Indian spices, Pastry dough","Indian stuffed pastries with spiced vegetable filling.","Make potato filling. Wrap in pastry triangles. Deep fry until golden.","Veggi","Indian","Medium","samosas.jpg"
63,"Beef Tacos","Ground beef, Taco seasoning, Tortillas, Lettuce, Cheese, Tomatoes","Classic Mexican-style tacos.","Cook seasoned beef. Warm tortillas. Assemble with toppings.","Non-Veggi","Mexican","Easy","beef_tacos.jpg"
64,"Vegetable Lasagna","Lasagna noodles, Vegetables, Ricotta, Marinara sauce","Meat-free version of classic lasagna.","Layer noodles with vegetables, cheese, and sauce. Bake until bubbly.","Veggi","Italian","Medium","veg_lasagna.jpg"
65,"Chicken Marsala","Chicken cutlets, Marsala wine, Mushrooms, Butter","Italian-American chicken dish in wine sauce.","Sauté chicken and mushrooms. Make Marsala sauce. Combine and serve.","Non-Veggi","Italian-American","Medium","chicken_marsala.jpg"
66,"Lemon Meringue Pie","Pie crust, Lemon curd, Meringue","Classic pie with tangy lemon filling and fluffy meringue.","Make lemon curd. Fill pie crust. Top with meringue and bake until golden.","Dessert","American","Hard","lemon_meringue.jpg"
67,"Pad See Ew","Rice noodles, Chicken, Chinese broccoli, Soy sauce","Thai stir-fried noodles with chicken and vegetables.","Stir-fry chicken and vegetables. Add noodles and sauce. Cook until charred.","Non-Veggi","Thai","Medium","pad_see_ew.jpg"
68,"Vegetable Spring Rolls","Rice paper, Vegetables, Rice noodles, Herbs","Fresh Vietnamese rolls with vegetables.","Soften rice paper. Fill with vegetables and noodles. Roll tightly.","Veggi","Vietnamese","Medium","spring_rolls.jpg"
69,"Chicken Piccata","Chicken cutlets, Lemon, Capers, White wine","Italian-American chicken dish in lemon-caper sauce.","Sauté chicken. Make sauce with wine, lemon, and capers.","Non-Veggi","Italian-American","Medium","chicken_piccata.jpg"
70,"Vegetable Tempura","Assorted vegetables, Tempura batter","Japanese-style battered and fried vegetables.","Make tempura batter. Dip vegetables and fry until crispy.","Veggi","Japanese","Medium","tempura.jpg"
71,"Beef Enchiladas","Corn tortillas, Ground beef, Enchilada sauce, Cheese","Mexican rolled tortillas with beef filling.","Cook beef filling. Roll in tortillas. Top with sauce and cheese. Bake.","Non-Veggi","Mexican","Medium","enchiladas.jpg"
72,"Vegetable Curry Puffs","Puff pastry, Curry powder, Potatoes, Peas","Malaysian-style curry-filled pastries.","Make curry filling. Wrap in pastry. Deep fry until golden.","Veggi","Malaysian","Medium","curry_puffs.jpg"
73,"Chicken Shawarma","Chicken thighs, Middle Eastern spices, Pita bread","Middle Eastern spiced chicken wrap.","Marinate chicken in spices. Grill. Serve in pita with toppings.","Halal","Middle Eastern","Medium","shawarma.jpg"
74,"Vegetable Paella","Rice, Mixed vegetables, Saffron, Vegetable broth","Vegetarian version of Spanish rice dish.","Sauté vegetables. Add rice and saffron. Cook until rice is done.","Veggi","Spanish","Medium","veg_paella.jpg"
75,"Beef Stir-Fry Noodles","Egg noodles, Beef strips, Mixed vegetables","Asian-style noodles with beef and vegetables.","Stir-fry beef and vegetables. Add noodles and sauce.","Non-Veggi","Chinese","Medium","beef_noodles.jpg"
76,"Vegetable Moussaka","Eggplant, Lentils, Bechamel sauce","Vegetarian version of Greek casserole.","Layer eggplant and lentil filling. Top with bechamel. Bake.","Veggi","Greek","Hard","veg_moussaka.jpg"
77,"Chicken Korma","Chicken, Yogurt, Nuts, Indian spices","Mild Indian curry with creamy sauce.","Cook chicken in spiced yogurt sauce with ground nuts.","Halal","Indian","Medium","chicken_korma.jpg"
78,"Vegetable Sushi Rolls","Sushi rice, Nori, Vegetables","Japanese vegetarian sushi.","Prepare rice. Roll with vegetables in nori sheets.","Veggi","Japanese","Medium","veg_sushi.jpg"
79,"Beef Empanadas","Pastry dough, Ground beef, Onions, Spices","Latin American meat-filled pastries.","Make beef filling. Wrap in pastry. Bake until golden.","Non-Veggi","Latin American","Medium","empanadas.jpg"
80,"Vegetable Gyoza","Dumpling wrappers, Vegetables, Ginger","Japanese vegetable dumplings.","Mix filling. Wrap in dumpling skins. Pan-fry and steam.","Veggi","Japanese","Medium","gyoza.jpg"
81,"Chicken Satay","Chicken skewers, Peanut sauce, Asian spices","Indonesian grilled chicken with peanut sauce.","Marinate chicken. Grill on skewers. Serve with peanut sauce.","Halal","Indonesian","Medium","satay.jpg"
82,"Vegetable Bibimbap","Rice, Mixed vegetables, Gochujang sauce","Korean rice bowl with vegetables.","Prepare rice and vegetables. Arrange in bowl with sauce.","Veggi","Korean","Medium","bibimbap.jpg"
83,"Beef Rendang","Beef, Coconut milk, Malaysian spices","Malaysian slow-cooked spicy beef.","Simmer beef in coconut milk and spices until tender.","Halal","Malaysian","Hard","rendang.jpg"
84,"Vegetable Pakoras","Chickpea flour, Mixed vegetables, Indian spices","Indian vegetable fritters.","Make batter with chickpea flour. Coat vegetables and fry.","Veggi","Indian","Medium","pakoras.jpg"
85,"Chicken Adobo","Chicken, Soy sauce, Vinegar, Garlic","Filipino chicken dish in soy-vinegar sauce.","Simmer chicken in sauce with garlic until tender.","Non-Veggi","Filipino","Medium","adobo.jpg"
86,"Vegetable Pad Thai","Rice noodles, Tofu, Bean sprouts","Vegetarian Thai noodle dish.","Stir-fry tofu and vegetables. Add noodles and sauce.","Veggi","Thai","Medium","veg_pad_thai.jpg"
87,"Beef Kofta","Ground beef, Middle Eastern spices, Pita bread","Middle Eastern spiced meatballs.","Mix beef with spices. Form into balls. Grill.","Halal","Middle Eastern","Medium","kofta.jpg"
88,"Vegetable Dim Sum","Dumpling wrappers, Mixed vegetables","Chinese vegetable dumplings.","Prepare filling. Wrap and steam dumplings.","Veggi","Chinese","Medium","dim_sum.jpg"
89,"Chicken Tandoori","Chicken, Yogurt, Indian spices","Indian spiced roasted chicken.","Marinate chicken in spiced yogurt. Roast until done.","Halal","Indian","Medium","tandoori.jpg"
90,"Vegetable Falafel Wrap","Falafel, Pita bread, Tahini sauce","Middle Eastern wrap with falafel.","Make falafel. Serve in pita with sauce and vegetables.","Veggi","Middle Eastern","Medium","falafel_wrap.jpg"
91,"Beef Bulgogi","Beef strips, Korean marinade, Rice","Korean marinated grilled beef.","Marinate beef. Grill and serve with rice.","Non-Veggi","Korean","Medium","bulgogi.jpg"
92,"Vegetable Ramen","Ramen noodles, Vegetables, Miso broth","Japanese noodle soup with vegetables.","Prepare broth. Cook noodles. Add vegetables.","Veggi","Japanese","Medium","veg_ramen.jpg"
93,"Chicken Enchiladas Verdes","Chicken, Green sauce, Tortillas","Mexican enchiladas with green sauce.","Roll chicken in tortillas. Top with green sauce and cheese.","Non-Veggi","Mexican","Medium","enchiladas_verdes.jpg"
94,"Vegetable Biryani","Basmati rice, Mixed vegetables, Indian spices","Indian spiced rice with vegetables.","Layer partially cooked rice with spiced vegetables. Steam.","Veggi","Indian","Medium","veg_biryani.jpg"
95,"Beef Stroganoff","Beef strips, Mushrooms, Sour cream","Russian beef dish in cream sauce.","Cook beef and mushrooms. Add sour cream sauce.","Non-Veggi","Russian","Medium","stroganoff.jpg"
96,"Vegetable Tempeh Stir-Fry","Tempeh, Mixed vegetables, Soy sauce","Indonesian-style tempeh with vegetables.","Stir-fry tempeh and vegetables with sauce.","Veggi","Indonesian","Medium","tempeh_stirfry.jpg"
97,"Chicken Cacciatore","Chicken, Tomatoes, Italian herbs","Italian hunter-style chicken.","Brown chicken. Simmer in tomato sauce with herbs.","Non-Veggi","Italian","Medium","cacciatore.jpg"
98,"Vegetable Tagine","Mixed vegetables, Moroccan spices","Moroccan vegetable stew.","Layer vegetables with spices. Slow cook until tender.","Veggi","Moroccan","Medium","veg_tagine.jpg"
99,"Beef Pho","Rice noodles, Beef, Vietnamese herbs","Vietnamese beef noodle soup.","Prepare broth. Cook noodles. Add beef and herbs.","Non-Veggi","Vietnamese","Hard","beef_pho.jpg"
100,"Vegetable Gnocchi","Potatoes, Flour, Eggs, Spinach, Parmesan, Sage, Butter","Homemade potato dumplings with spinach and sage butter sauce.","Boil and mash potatoes. Mix with flour and eggs to form dough. Shape into small dumplings. Cook in boiling water until they float. Serve with sage butter sauce and parmesan.","Veggi","Italian","Medium","gnocchi.jpg"
